UNIT,TIMESTAMP,OPEN,HIGH,LOW,CLOSE
DAY,1761350400,111072.135630999,111970.012039171,110763.825611313,111656.14021356
DAY,1761436800,111656.14021356,115110.460037564,111269.588732658,114583.603528519
DAY,1761523200,114583.603528519,116360.269076491,113913.335022221,114143.700236365
DAY,1761609600,114143.700236365,116094.042473895,112365.29667472,112964.048665163
DAY,1761696000,112964.048665163,113702.901950938,109571.846317101,110108.026746427
DAY,1761782400,110108.026746427,111654.571811768,106383.915867348,108342.85615097
DAY,1761868800,108342.85615097,111123.080372471,108321.3899889,109619.819306068
DAY,1761955200,109619.819306068,110598.718000052,109415.255587054,110162.286332992
DAY,1762041600,110162.286332992,111235.011441722,109557.095389686,110576.714320106
DAY,1762128000,110576.714320106,110768.746956073,105476.037084784,106655.710268712
DAY,1762214400,106655.710268712,107354.956570426,99058.6580143093,101583.635565302
DAY,1762300800,101583.635565302,104605.945074825,99043.9683392924,103971.149190052
DAY,1762387200,103971.149190052,104217.113350505,100365.110226266,101346.26469722
DAY,1762473600,101346.26469722,104058.431535523,99302.1788093872,103326.208424691
DAY,1762560000,103326.208424691,103379.58544648,101475.969320999,102298.730646566
DAY,1762646400,102298.730646566,105416.130305327,101459.34158381,104725.540876362
DAY,1762732800,104725.540876362,106626.4742893,104293.80079756,105997.950274382
DAY,1762819200,105997.950274382,107467.294470123,102531.528205382,103087.646722457
DAY,1762905600,103087.646722457,105341.619430159,100887.113807248,101694.525387851
DAY,1762992000,101694.525387851,104062.651936951,98050.2548654296,99702.7889356091
DAY,1763078400,99702.7889356091,99871.630745917,94105.0142971997,94667.6980316109
DAY,1763164800,94667.6980316109,96884.8770932751,94660.2356251459,95637.0452551772
DAY,1763251200,95637.0452551772,96670.2787538155,93232.1318473594,94394.0011993443
DAY,1763337600,94394.0011993443,96076.0769160194,91350.6677540821,92225.443968822
DAY,1763424000,92225.443968822,93832.8288298203,89401.1262764224,92993.1480092538
DAY,1763510400,92993.1480092538,93003.558839481,88603.3596455788,91527.1735071698
DAY,1763596800,91527.1735071698,93106.240126199,86074.2382173147,86587.3725510952
DAY,1763683200,86587.3725510952,87421.5577275029,80638.7270118116,85143.6986808933
DAY,1763769600,85143.6986808933,85599.3513910288,83517.1828078935,84747.7976933744
DAY,1763856000,84747.7976933744,88179.5738773906,84691.6963440779,86923.7809890631
DAY,1763942400,86923.7809890631,89233.3063691849,85343.7029368107,88313.8112235453
DAY,1764028800,88313.8112235453,88508.8774126942,87375.6368622988,87424.9390390657
